refrigerant,T_evap,T_cond,superheat,subcooling,COP,eta_exergy,w_comp_kJ,q_evap_kJ,pressure_ratio,ex_dest_comp,ex_dest_cond,ex_dest_evap,ex_dest_exp,ex_dest_total,transcritical
R134a,-30,30,3,3,1.5589,0.3948,93.1791,145.2577,9.128,40.8903,5.2238,-0.0176,10.293,56.3894,0
R134a,-30,30,3,5,1.5896,0.4023,93.1791,148.1133,9.128,40.8903,5.1862,-0.0176,9.6375,55.6964,0
R134a,-30,30,3,7,1.62,0.4097,93.1791,150.9515,9.128,40.8903,5.1298,-0.0176,9.005,55.0076,0
R134a,-30,30,5,3,1.5607,0.3953,94.077,146.8223,9.128,41.0166,5.6319,-0.0486,10.293,56.8928,0
R134a,-30,30,5,5,1.591,0.4026,94.077,149.6778,9.128,41.0166,5.5944,-0.0486,9.6375,56.1998,0
R134a,-30,30,5,7,1.6212,0.4099,94.077,152.516,9.128,41.0166,5.538,-0.0486,9.005,55.511,0
R134a,-30,30,7,3,1.5625,0.3957,94.9689,148.3892,9.128,41.1389,6.0527,-0.0949,10.293,57.3897,0
R134a,-30,30,7,5,1.5926,0.403,94.9689,151.2448,9.128,41.1389,6.0152,-0.0949,9.6375,56.6967,0
R134a,-30,30,7,7,1.6225,0.4102,94.9689,154.083,9.128,41.1389,5.9588,-0.0949,9.005,56.0079,0
R134a,-30,30,10,3,1.5654,0.3964,96.2964,150.7453,9.128,41.3155,6.7076,-0.1924,10.293,58.1236,0
R134a,-30,30,10,5,1.5951,0.4036,96.2964,153.6008,9.128,41.3155,6.67,-0.1924,9.6375,57.4306,0
R134a,-30,30,10,7,1.6246,0.4108,96.2964,156.439,9.128,41.3155,6.6137,-0.1924,9.005,56.7418,0
R134a,-30,35,3,3,1.3877,0.3914,99.4733,138.0438,10.512,42.8525,5.5766,-0.0176,12.1287,60.5402,0
R134a,-30,35,3,5,1.4169,0.3989,99.4733,140.9434,10.512,42.8525,5.5397,-0.0176,11.4156,59.7903,0
R134a,-30,35,3,7,1.4459,0.4064,99.4733,143.8235,10.512,42.8525,5.4844,-0.0176,10.726,59.0453,0
R134a,-30,35,5,3,1.39,0.392,100.4385,139.6084,10.512,42.9922,5.9973,-0.0486,12.1287,61.0695,0
